username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FulloutDanceLV;2017-10-29 16:59;0;1;"Good group last night! Thanks to everyone that came out. We really had a lot of fun. @Fullout… https://www. instagram.com/p/Ba2etgNBjuC/";;@Fullout;;"924787916064350211";https://twitter.com/FulloutDanceLV/status/924787916064350211
carcoating;2017-10-29 16:59;0;1;"É com imenso orgulho que estaremos no maior evento automotivo do mundo!! #souviciadocarcoating … https://www. instagram.com/p/Ba2eonmgybM/";;;#souviciadocarcoating;"924787752872435713";https://twitter.com/carcoating/status/924787752872435713
ScottyRodg42;2017-10-29 16:59;0;5;"Great seeing my man AJ down here breaking dudes ankles out here in Vegas. Growing up with with… https://www. instagram.com/p/Ba2entdldx6/";;;;"924787713194254336";https://twitter.com/ScottyRodg42/status/924787713194254336
808neil;2017-10-29 16:58;0;0;""Brotherhood is not just a Bible word. Out of comradeship can come… https://www. instagram.com/p/Ba2MtCsFSCfd VJFugcYwV6hb2VHcXwS5QOWDrE0/ …";;;;"924787524454748160";https://twitter.com/808neil/status/924787524454748160
Merza_Ali;2017-10-29 16:57;0;0;""Something observable is masking our identities and emotions due to social media. We live in a… https://www. instagram.com/p/Ba2edCdl5mA/";;;;"924787347581034496";https://twitter.com/Merza_Ali/status/924787347581034496
TakodaTran;2017-10-29 16:56;1;1;"Closing out the weekend with Above & Beyond tonight at @HakkasanLV @Hakkasan Las Vegas… https://www. instagram.com/p/Ba2eTYNlt63/";;@HakkasanLV @Hakkasan;;"924787015350185984";https://twitter.com/TakodaTran/status/924787015350185984
stephaniecolao8;2017-10-29 16:56;0;0;"I ain't sayin' she a gold digger @Halloween Town https://www. instagram.com/p/Ba2eSSNAlH3W 7OLEC_OwR77Ho8hfk6Jqu_ME0o0/ …";;@Halloween;;"924786984777682945";https://twitter.com/stephaniecolao8/status/924786984777682945
techchad;2017-10-29 16:55;0;0;"I just finished running 1.32 miles in 1h:43m:02s with #Endomondo #endorphins https:// goo.gl/i5p67u";;;#Endomondo #endorphins;"924786900766003201";https://twitter.com/techchad/status/924786900766003201
yochef2;2017-10-29 16:55;0;0;"Eggplant parmigiana #eggplantparmigiana #foodstagram @Casablanca Homeowners Assn https://www. instagram.com/p/Ba2eOENFfY9/";;@Casablanca;#eggplantparmigiana #foodstagram;"924786824995729408";https://twitter.com/yochef2/status/924786824995729408
FulloutDanceLV;2017-10-29 16:55;0;0;"Pics from our Halloween Hoopla last night! So fun! @Fullout Dance Academy https://www. instagram.com/p/Ba2eLDKh0Ti/";;@Fullout;;"924786727394463744";https://twitter.com/FulloutDanceLV/status/924786727394463744
Leesh5353Alecia;2017-10-29 16:55;0;0;"#phuckafiltah #bay2ve ' #vegay2017 @New York - New York Hotel &… https://www. instagram.com/p/Ba2eDoont1ye 1qs3TYo8CD2JQaT3EbJ4MR6B1M0/ …";;@New;#phuckafiltah #bay2ve #vegay2017;"924786716065521664";https://twitter.com/Leesh5353Alecia/status/924786716065521664
epmedley;2017-10-29 16:55;0;0;"Our world traveler made it home in time to celebrate our pastor for #clergyappreciationmonth !… https://www. instagram.com/p/Ba2eKByBzOX/";;;#clergyappreciationmonth;"924786694494277632";https://twitter.com/epmedley/status/924786694494277632
djinfo1;2017-10-29 16:54;0;0;"Wen you get it all back babe lasvegas @North Las Vegas, Nevada https://www. instagram.com/p/Ba2eDwYFZHI/";;@North;;"924786668372221952";https://twitter.com/djinfo1/status/924786668372221952
JamesJSellsCars;2017-10-29 16:54;0;0;"A little snack before the weekly #mealprep @El Pollo Loco https://www. instagram.com/p/Ba2eIpcll3h/";;@El;#mealprep;"924786654811844608";https://twitter.com/JamesJSellsCars/status/924786654811844608
